convective_available_potential_energy,k_index,cross_totals_index,vertical_totals_index,lifted_index,showalter_index,temp_1000_hpa,dewpoint_1000_hpa,temp_850_hpa,dewpoint_850_hpa,temp_700_hpa,dewpoint_700_hpa,temp_500_hpa,dewpoint_500_hpa,rain
0.0,8.7,11.3,24.3,3.31,7.19,25.6,16.6,19.4,6.4,11.4,10.6,-4.9,-8.5,0
0.0,8.7,11.3,24.3,3.31,7.19,25.6,16.6,19.4,6.4,11.4,10.6,-4.9,-8.5,0
19.14,8.8,19.8,22.9,-0.06,0.73,27.8,20.8,18.0,14.9,12.2,16.8,-4.9,-8.4,1
19.14,8.8,19.8,22.9,-0.06,0.73,27.8,20.8,18.0,14.9,12.2,16.8,-4.9,-8.4,0
19.81,23.9,17.3,23.3,0.31,2.78,27.0,22.0,18.6,12.6,11.8,-0.2,-4.7,16.7,0
19.81,23.9,17.3,23.3,0.31,2.78,27.0,22.0,18.6,12.6,11.8,-0.2,-4.7,16.7,0
178.84,32.7,19.9,24.7,-1.53,0.2,27.0,21.0,18.8,14.0,10.0,4.0,-5.9,-7.9,0
178.84,32.7,19.9,24.7,-1.53,0.2,27.0,21.0,18.8,14.0,10.0,4.0,-5.9,-7.9,1
120.25,30.5,21.1,23.1,-1.01,-0.28,27.2,21.2,17.4,15.4,11.2,3.2,-5.7,-8.7,0
120.25,30.5,21.1,23.1,-1.01,-0.28,27.2,21.2,17.4,15.4,11.2,3.2,-5.7,-8.7,0
154.39,30.5,17.5,24.5,-1.12,2.32,26.4,20.4,19.0,12.0,9.8,3.8,-5.5,11.5,1
154.39,30.5,17.5,24.5,-1.12,2.32,26.4,20.4,19.0,12.0,9.8,3.8,-5.5,11.5,1
612.65,29.9,18.3,22.1,-0.74,1.94,26.0,23.4,18.6,14.8,11.0,4.0,-3.5,16.5,1
612.65,29.9,18.3,22.1,-0.74,1.94,26.0,23.4,18.6,14.8,11.0,4.0,-3.5,16.5,0
460.65,29.6,19.0,23.9,-2.43,1.18,25.6,21.8,18.6,13.7,10.8,2.8,-5.3,12.3,1
460.65,29.6,19.0,23.9,-2.43,1.18,25.6,21.8,18.6,13.7,10.8,2.8,-5.3,12.3,1
122.69,34.8,17.5,25.5,-1.27,1.82,23.6,22.2,20.0,12.0,9.6,6.9,-5.5,-8.0,1
122.69,34.8,17.5,25.5,-1.27,1.82,23.6,22.2,20.0,12.0,9.6,6.9,-5.5,-8.0,0
